太設,	2506
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,67.51,130.08,17.92,2.28,0.37,986.48,1.50,-1.93,-3.06,-0.23,0.89,1.07,11.72
2001,71.84,129.11,15.00,2.21,0.37,986.48,-3.94,-22.50,-37.35,-2.41,0.26,0.27,9.53
2002,92.12,87.07,13.00,3.15,0.56,651.78,-22.03,-130.24,-112.58,-7.63,14.16,3.03,1.93
2003,80.37,95.00,19.00,3.51,0.48,760.41,10.55,68.50,39.45,4.00,7.02,10.88,8.48
2004,82.99,79.00,17.00,1.51,0.20,1825.00,-2.68,-23.56,-49.59,-1.76,2.24,4.52,6.44
2005,84.63,71.65,6.95,2.45,0.17,2147.05,-2.99,-26.52,-50.30,-1.55,0.00,0.00,5.12
2006,79.90,69.57,3.91,4.19,0.18,2027.77,3.91,13.61,28.23,0.76,0.00,0.00,5.36
2007,79.70,91.92,26.81,6.18,0.10,3650.00,2.50,4.67,11.48,0.25,0.00,0.00,5.73
2008,72.41,77.71,4.56,23.39,0.28,1303.57,1.11,-1.72,-2.65,-0.09,2.40,3.27,5.35
2009,72.18,85.74,11.16,39.51,0.24,1520.83,3.82,8.76,16.32,0.49,0.21,0.29,5.83
2010,68.55,94.17,5.53,77.49,0.14,2607.14,4.58,10.91,25.79,0.68,0.00,0.00,6.62
2011,57.77,105.81,16.50,148.58,0.13,2807.69,7.89,18.34,39.27,2.48,4.41,3.09,14.99
2012,56.77,108.13,9.61,44.72,0.26,1403.84,3.04,4.67,13.99,0.69,NA,NA,15.14
2013,55.87,156.19,37.48,18.93,0.31,1177.41,5.69,10.81,21.50,1.76,8.46,4.36,15.92
2014,53.33,160.99,46.47,24.21,0.34,1073.52,3.57,5.60,10.33,0.88,7.52,3.24,16.96
2015,50.48,146.50,33.12,14.11,0.14,2607.14,2.24,2.69,9.43,0.32,NA,NA,17.26
2016,50.31,149.62,32.73,14.04,0.17,2147.05,1.94,2.30,7.37,0.33,9.53,4.51,17.41
2017,49.05,165.25,25.03,11.47,0.12,3041.66,1.19,0.90,4.26,0.03,NA,NA,17.24
