華興,	6164
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,33.71,195.03,148.81,2.07,4.28,85.28,9.59,13.03,14.41,1.58,9.32,2.76,12.99
2001,28.14,165.57,116.22,2.17,4.62,79.00,5.44,6.66,9.14,0.82,81.16,18.65,12.80
2002,24.51,200.31,158.02,3.07,6.38,57.21,9.36,12.06,14.64,1.47,-11.86,-3.93,12.96
2003,32.45,149.02,126.96,2.10,6.83,53.44,2.42,3.08,3.67,0.38,-2.41,-3.01,12.11
2004,29.24,254.81,223.13,2.20,8.56,42.64,3.61,4.90,5.14,0.55,55.64,9.19,11.46
2005,27.31,204.60,168.44,2.41,6.46,56.50,4.85,6.61,7.16,0.79,49.24,8.53,12.01
2006,21.13,279.35,247.76,2.80,7.22,50.55,8.58,11.22,13.79,1.37,22.46,0.70,12.59
2007,24.94,195.99,180.32,3.11,8.72,41.85,11.74,15.18,17.32,1.88,18.13,NA,12.83
2008,14.86,297.29,265.28,3.01,9.10,40.10,6.72,8.21,10.54,0.97,113.59,11.77,12.01
2009,22.07,204.13,177.38,3.02,9.04,40.37,6.27,7.65,9.66,0.92,-9.84,-8.78,12.14
2010,30.61,206.13,164.31,3.02,7.95,45.91,6.52,8.52,9.16,0.99,10.78,-1.05,12.08
2011,24.52,264.67,220.13,2.90,7.53,48.47,2.51,3.10,4.08,0.37,138.65,12.08,12.19
2012,25.32,118.24,100.01,3.84,9.92,36.79,1.90,2.26,3.08,0.26,66.85,10.53,11.87
2013,31.22,264.03,202.19,3.41,2.85,128.07,7.28,10.46,9.06,1.33,37.31,6.97,13.36
2014,34.86,244.72,192.21,3.08,2.94,124.14,5.58,8.17,7.39,1.11,20.37,1.05,13.90
2015,34.18,273.48,227.11,2.85,2.95,123.72,2.34,3.30,3.24,0.45,50.03,7.59,13.38
2016,38.99,249.64,215.59,3.07,3.06,119.28,5.73,8.69,8.84,1.14,50.54,10.74,13.30
2017,37.64,217.38,181.89,3.52,2.85,128.07,1.98,2.84,3.02,0.37,33.81,4.91,12.45
2018,41.15,176.18,147.61,3.40,2.70,135.18,1.25,1.73,1.88,0.22,15.94,3.90,12.16
