華新科,	2492
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,21.88,296.66,227.93,3.60,4.76,76.68,17.57,23.95,20.42,7.78,-77.23,-18.41,39.06
2001,34.02,152.37,115.35,2.15,3.13,116.61,-1.26,-2.32,-4.06,-0.63,10.68,4.71,26.78
2002,35.56,314.85,249.96,2.64,3.31,110.27,2.40,2.80,4.20,0.78,70.88,12.29,27.11
2003,37.93,169.27,140.62,3.10,4.34,84.10,1.55,2.07,3.09,0.53,45.94,13.04,25.13
2004,33.80,129.92,88.70,3.96,4.22,86.49,2.99,4.50,6.91,1.11,46.48,12.48,24.62
2005,21.87,152.42,119.69,3.74,4.45,82.02,4.89,6.51,11.04,1.67,45.90,9.38,25.09
2006,20.58,127.96,96.34,3.76,6.49,56.24,9.33,11.65,19.82,2.85,57.18,10.31,26.73
2007,34.55,102.36,68.35,4.16,5.94,61.44,6.06,7.94,12.92,2.15,48.53,4.27,27.42
2008,32.02,110.87,80.30,4.05,5.86,62.28,-1.96,-3.86,-7.10,-0.91,30.54,3.52,23.50
2009,26.42,108.17,80.01,3.71,7.46,48.92,-1.70,-2.88,-6.21,-0.66,30.27,3.88,23.55
2010,24.74,88.62,60.41,4.94,8.71,41.90,4.94,6.25,11.34,1.45,45.61,7.00,23.80
2011,30.83,145.53,103.72,4.95,7.35,49.65,-4.81,-7.03,-14.93,-1.54,32.62,2.18,21.34
2012,30.75,62.67,42.80,5.22,8.65,42.19,-6.64,-10.12,-24.81,-2.04,57.96,6.48,18.86
2013,39.11,160.60,123.72,3.56,4.19,87.11,-1.64,-3.86,-3.73,-0.74,2.88,0.63,19.35
2014,39.36,204.37,153.82,3.46,3.95,92.40,2.84,3.99,4.42,0.81,6.77,1.17,21.32
2015,41.03,209.15,163.48,3.34,4.02,90.79,5.07,8.55,7.87,1.86,27.91,4.36,24.77
2016,43.65,184.80,144.44,3.33,4.31,84.68,8.61,15.28,12.41,3.95,31.24,5.68,27.94
2017,45.57,155.05,122.47,3.18,4.45,82.02,9.01,16.58,12.95,5.15,19.99,4.10,35.27
2018,41.20,172.23,140.83,4.29,3.70,98.64,41.85,76.15,42.98,40.75,77.33,22.48,71.81
