浩鑫,	2405
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,33.77,342.07,314.80,4.13,19.44,18.77,0.16,-1.62,-0.71,-0.25,0.00,0.00,15.90
2001,45.69,185.13,168.03,3.71,23.12,15.78,-4.63,-9.47,-4.96,-1.53,49.94,20.59,14.34
2002,41.37,160.16,139.08,4.70,16.88,21.62,7.90,13.33,5.51,2.14,31.06,19.87,17.22
2003,42.86,177.84,150.71,5.43,15.18,24.04,12.59,21.56,7.89,3.36,35.61,17.81,16.26
2004,38.19,152.99,129.92,4.74,16.02,22.78,3.36,5.51,2.23,0.73,1.71,0.00,13.12
2005,24.20,210.31,166.16,3.30,9.53,38.30,2.53,3.70,2.73,0.48,25.51,5.20,11.98
2006,16.00,261.45,218.59,3.46,5.46,66.84,0.32,0.40,0.67,0.05,79.30,10.03,13.00
2007,16.79,262.93,215.65,7.25,7.21,50.62,1.62,1.93,2.96,0.25,26.54,4.43,13.24
2008,12.71,311.73,239.68,5.23,6.00,60.83,1.73,2.03,3.31,0.27,-26.36,-3.08,13.10
2009,11.27,491.97,451.57,3.83,5.39,67.71,-13.15,-14.92,-42.69,-2.35,30.77,3.34,12.16
2010,32.32,208.13,186.45,3.28,8.92,40.91,-9.33,-12.27,-15.51,-1.40,-54.52,-23.02,10.88
2011,12.34,348.71,305.20,2.41,5.71,63.92,0.26,0.30,0.50,0.03,154.51,19.98,10.64
2012,12.03,277.55,240.24,7.62,6.17,59.15,7.51,8.55,16.00,0.94,69.76,7.14,11.24
2013,52.27,174.94,154.26,3.85,13.61,26.81,5.73,11.20,2.77,1.38,-5.17,-7.28,12.28
2014,32.86,274.57,232.65,2.03,7.51,48.60,-3.33,-6.22,-3.78,-0.71,78.32,29.14,11.73
2015,19.86,456.25,392.09,3.73,7.10,51.40,-4.00,-5.57,-4.32,-0.63,-14.64,-3.20,11.35
2016,25.58,354.16,295.87,3.21,5.80,62.93,-1.97,-2.62,-2.37,-0.29,-41.61,-12.76,10.99
2017,26.31,332.12,282.63,3.38,7.00,52.14,-3.07,-4.22,-3.16,-0.46,10.15,3.34,10.12
2018,18.67,448.66,315.00,4.42,4.79,76.20,-3.08,-4.04,-3.23,-0.40,-27.24,-5.92,9.81
