致新,	8081
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2002,20.00,388.00,279.00,2.62,3.26,111.96,5.00,6.00,5.00,0.67,NA,NA,12.78
2003,30.00,278.00,189.00,3.39,3.61,101.10,7.00,9.00,6.00,1.15,32.00,12.00,13.31
2004,34.00,256.00,158.00,3.65,3.46,105.49,21.00,30.00,15.00,4.40,NA,NA,16.50
2005,26.00,360.00,259.00,4.05,4.06,89.90,45.00,64.00,27.00,12.87,81.00,27.00,25.58
2006,21.00,442.00,282.00,3.08,3.71,98.38,35.00,45.00,28.00,11.00,94.00,26.00,29.87
2007,17.00,520.00,406.00,3.57,4.50,81.11,33.00,40.00,26.00,12.28,124.00,12.00,36.24
2008,16.00,492.00,386.00,3.44,4.07,89.68,16.00,19.00,16.00,7.38,108.00,9.00,41.73
2009,19.08,433.28,359.06,3.64,4.67,78.15,15.37,18.71,16.45,8.02,117.03,15.35,44.52
2010,22.04,340.53,256.61,4.04,4.54,80.39,16.49,20.78,16.20,9.50,49.47,-1.98,46.98
2011,18.55,399.69,319.77,3.70,4.26,85.68,13.92,17.48,14.62,8.12,109.84,5.65,45.97
2012,26.79,280.71,234.57,4.00,4.93,74.03,13.73,17.77,15.22,8.29,67.08,10.38,47.27
2013,25.29,305.20,269.15,4.06,4.83,75.56,10.04,13.51,13.92,6.33,86.16,15.30,46.37
2014,24.36,317.79,272.81,4.45,4.92,74.18,11.40,15.06,15.43,7.09,35.76,-0.50,47.82
2015,26.33,311.14,271.34,3.76,4.12,88.59,8.07,10.17,12.40,5.06,32.55,-1.98,45.95
2016,30.85,277.67,235.56,3.19,3.96,92.17,7.28,10.10,10.89,4.67,6.54,-8.71,46.49
2017,26.34,326.54,272.24,3.02,3.97,91.93,5.86,8.09,8.06,3.70,23.06,-3.74,44.97
2018,29.12,202.08,150.83,3.65,4.23,86.28,8.95,12.16,10.61,5.53,39.61,5.83,45.91
