昇貿,	3305
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2002,40.25,130.37,98.40,2.93,5.25,69.52,8.00,12.50,9.05,1.10,29.12,12.48,n/a
2003,44.35,112.92,78.74,3.01,6.11,59.73,6.61,9.98,7.25,0.97,NA,NA,11.11
2004,50.98,103.28,75.24,3.12,6.56,55.64,16.53,30.30,18.61,3.54,NA,NA,13.21
2005,45.47,129.24,107.29,2.58,7.99,45.68,16.31,29.29,20.03,4.10,NA,NA,16.55
2006,45.75,294.51,257.28,2.61,11.92,30.62,18.33,31.90,17.27,6.26,-94.61,-23.06,25.47
2007,48.83,199.00,163.62,2.00,7.12,51.26,12.01,21.00,16.94,5.23,2.81,0.00,26.63
2008,44.00,180.64,140.21,2.74,6.52,55.98,8.10,13.27,10.43,3.11,69.22,18.65,24.87
2009,29.41,279.70,225.33,2.79,6.56,55.64,10.96,16.46,15.56,4.43,73.14,8.35,28.97
2010,35.23,193.00,136.48,3.13,6.61,55.21,9.47,13.57,11.91,3.78,NA,NA,28.46
2011,30.40,240.38,230.64,3.13,8.06,45.28,10.64,15.29,12.14,4.41,32.49,2.28,31.78
2012,27.60,273.13,229.64,2.79,9.65,37.82,7.00,9.52,9.88,3.00,131.69,17.33,31.28
2013,36.62,259.55,201.03,2.93,4.41,82.76,6.38,9.37,6.03,3.02,43.25,13.35,33.16
2014,36.02,294.01,226.76,3.02,4.21,86.69,5.02,7.52,5.30,2.53,16.74,1.07,35.42
2015,37.98,279.03,224.13,2.62,3.76,97.07,2.02,2.75,2.39,0.94,44.43,10.18,33.73
2016,38.50,275.32,187.63,2.75,3.34,109.28,4.11,6.29,5.16,2.11,-22.85,-9.12,33.66
2017,43.50,225.20,146.20,2.92,3.08,118.50,1.68,2.40,1.73,0.77,-3.22,-6.51,31.05
2018,43.66,218.64,140.52,3.18,3.12,116.98,0.98,1.19,0.79,0.35,16.47,4.24,30.16
