佳必琪,	6197
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,41.54,193.94,177.98,4.04,30.45,11.98,28.55,57.81,15.99,6.63,33.39,21.73,31.34
2001,31.27,226.50,205.25,4.52,25.37,14.38,24.70,38.64,16.80,6.19,81.51,25.07,26.20
2002,23.68,293.27,272.89,5.25,31.86,11.45,19.23,26.46,12.38,5.32,13.94,-2.21,21.93
2003,46.64,359.88,324.08,4.51,29.34,12.44,19.78,32.06,13.94,5.98,34.16,3.93,20.75
2004,43.91,129.77,116.50,4.80,29.47,12.38,14.52,26.03,10.36,4.40,13.87,1.03,17.85
2005,43.91,134.61,126.38,4.18,35.32,10.33,6.82,11.74,4.99,1.87,37.30,18.44,16.56
2006,33.41,128.26,112.76,4.72,34.15,10.68,15.73,25.30,11.14,4.40,45.91,18.36,20.33
2007,29.03,147.72,140.32,4.44,31.70,11.51,11.31,16.32,10.48,3.48,26.74,0.08,24.39
2008,19.31,173.83,161.14,4.18,32.65,11.17,-0.24,-0.32,-0.29,-0.07,1.94,-5.90,19.76
2009,15.78,203.36,188.84,6.20,32.55,11.21,5.17,6.26,5.89,1.28,25.85,4.23,20.97
2010,17.18,113.71,103.68,7.52,38.38,9.51,2.57,3.08,2.89,0.58,32.83,6.22,18.67
2011,15.05,361.00,338.96,5.78,32.40,11.26,-1.51,-1.94,-2.46,-0.38,-65.72,-5.57,20.61
2012,21.72,223.10,201.09,4.31,17.78,20.52,1.73,1.89,2.76,0.39,28.17,4.93,20.90
2013,30.83,272.01,210.81,3.64,4.64,78.66,3.42,4.53,3.78,0.97,11.08,2.81,21.51
2014,25.65,333.99,267.07,3.30,4.16,87.74,5.99,8.23,6.79,1.82,39.99,10.42,22.41
2015,25.82,326.62,256.00,3.78,4.99,73.14,0.05,0.07,0.05,1.53,0.34,0.05,21.39
2016,27.34,317.92,257.01,3.60,4.95,73.73,8.30,11.30,8.32,2.40,44.07,7.49,21.16
2017,27.69,313.53,258.02,3.17,4.81,75.88,5.96,8.20,6.82,1.82,26.70,2.99,24.97
2018,33.03,267.30,216.41,3.07,4.25,85.88,6.31,8.96,7.96,2.18,32.36,8.86,24.55
