旺玖,	6233
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,28.00,304.00,216.00,6.43,2.43,150.20,39.00,53.00,24.00,8.05,51.00,18.00,n/a
2001,27.00,262.00,214.00,5.19,3.18,114.77,16.00,23.00,13.00,3.49,87.00,10.00,14.35
2002,27.00,276.00,240.00,4.53,3.54,103.10,24.00,33.00,20.00,4.71,73.00,24.00,17.34
2003,59.00,319.00,297.00,4.47,5.72,63.81,21.00,42.00,21.00,6.39,107.00,29.00,18.39
2004,43.00,193.00,179.00,5.06,5.30,68.86,24.00,47.00,26.00,7.28,60.00,40.00,19.56
2005,33.00,242.00,227.00,4.66,4.58,79.69,6.00,10.00,9.00,1.40,40.00,14.00,15.47
2006,20.00,378.00,343.00,4.45,4.71,77.49,-1.00,-2.00,-2.00,-0.24,45.00,4.51,14.31
2007,13.00,632.00,587.00,5.61,4.23,86.28,5.00,6.00,9.00,0.89,-25.00,-3.26,15.80
2008,10.06,768.52,723.50,5.97,3.46,105.49,0.16,0.17,0.41,0.03,132.02,8.24,15.12
2009,10.85,589.06,546.81,6.12,3.74,97.59,-2.67,-2.99,-7.32,-0.45,162.74,16.38,14.61
2010,7.35,933.89,822.41,6.88,3.61,101.10,0.17,0.10,0.20,0.02,48.92,3.35,15.54
2011,7.74,923.86,847.79,7.29,3.54,103.10,-3.39,-3.74,-7.11,-0.57,169.98,12.37,15.18
2012,8.99,841.65,790.25,6.44,2.66,137.21,-7.13,-7.85,-22.05,-1.15,131.32,11.35,14.22
2013,8.87,730.79,673.06,7.85,2.50,146.00,-6.95,-7.65,-23.11,-1.11,-47.17,-4.04,14.65
2014,9.79,843.36,792.19,6.57,1.89,193.12,-7.46,-8.23,-29.00,-1.13,-9.47,-0.80,12.78
2015,11.84,596.02,537.93,6.38,2.25,162.22,-6.39,-7.17,-16.67,-0.88,15.99,1.87,11.90
2016,11.90,630.60,574.72,5.17,2.26,161.50,-5.56,-6.31,-12.65,-0.73,8.07,0.95,11.14
2017,11.38,676.60,575.98,4.93,1.66,219.87,-5.78,-6.55,-14.03,-0.72,-43.58,-4.55,10.82
