根基,	2546
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,67.36,126.15,98.37,4.85,0.48,760.41,3.72,10.41,2.32,1.17,18.82,33.66,11.39
2001,63.95,127.67,73.84,4.49,0.43,848.83,3.41,7.83,1.65,0.90,NA,NA,11.73
2004,62.42,122.80,113.91,5.93,0.29,1258.62,-8.77,-22.66,-8.00,-2.44,38.12,60.57,9.61
2005,69.19,121.26,118.11,4.28,0.61,598.36,3.41,9.15,1.62,0.91,0.69,1.49,10.29
2006,51.11,150.01,113.06,1.29,0.35,1042.85,3.98,10.05,5.85,1.13,NA,NA,12.28
2007,53.49,148.22,128.64,3.27,0.60,608.33,4.69,9.55,3.32,1.18,27.45,25.79,12.40
2008,57.05,143.20,98.90,3.96,0.76,480.26,2.92,5.97,1.73,0.73,0.00,0.00,12.18
2009,63.14,150.01,114.64,4.68,0.95,384.21,10.60,26.75,6.58,3.87,28.64,32.11,17.03
2010,53.32,166.79,118.42,5.28,0.92,396.73,7.53,17.45,4.45,3.70,0.00,0.00,19.62
2011,56.60,158.19,120.75,4.41,0.72,506.94,2.84,6.13,1.85,1.14,25.83,17.30,17.71
2012,56.46,159.70,127.41,4.23,0.58,629.31,2.70,6.16,1.73,1.12,6.30,5.18,18.68
2013,51.37,177.75,152.42,3.25,0.54,675.92,3.97,8.66,2.98,1.68,4.97,0.16,20.13
2014,52.40,175.89,150.14,2.92,0.67,544.77,4.00,8.28,3.22,1.68,14.57,10.45,20.36
2015,58.23,162.61,130.90,3.11,0.74,493.24,2.87,6.41,2.29,1.27,10.96,6.95,19.19
2016,59.38,159.38,130.64,4.10,0.87,419.54,3.94,9.51,2.46,1.93,7.11,5.22,20.88
2017,64.33,148.35,127.75,3.27,0.71,514.08,4.91,12.93,3.53,2.79,7.62,6.57,22.20
2018,63.73,149.81,118.03,3.59,0.82,445.12,6.02,16.68,3.57,3.84,0.00,0.00,23.89
