正隆,	1904
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,50.02,132.14,46.51,5.50,2.89,126.29,5.13,7.96,5.74,1.01,5.91,1.34,13.08
2001,47.00,221.00,76.00,5.46,2.27,160.79,3.00,3.00,3.00,0.42,59.00,6.00,12.65
2002,44.00,232.00,92.00,6.25,2.55,143.13,4.00,7.00,6.00,0.93,65.00,7.00,13.57
2003,39.82,199.25,99.63,6.60,3.38,107.98,5.72,8.92,6.59,1.27,91.68,10.55,14.51
2004,36.00,174.00,84.00,6.42,4.21,86.69,5.00,7.00,5.00,1.07,38.00,4.00,14.90
2005,35.00,192.00,89.00,6.46,4.80,76.04,2.00,3.00,2.00,0.37,48.00,3.00,14.74
2006,37.47,208.89,92.23,7.03,4.88,74.79,3.46,4.88,3.57,0.72,31.82,2.01,14.82
2007,41.19,145.73,65.23,6.62,4.69,77.82,2.68,3.80,2.57,0.57,5.03,-1.01,15.01
2008,39.48,214.67,108.56,6.54,4.97,73.44,0.80,0.59,0.40,0.09,52.89,3.83,15.26
2009,35.91,133.28,70.70,5.74,4.91,74.33,4.50,6.92,6.08,1.09,45.47,5.98,16.18
2010,43.47,134.53,71.26,6.48,6.17,59.15,5.78,9.30,6.79,1.52,25.77,1.96,16.50
2011,51.80,150.03,73.41,5.75,5.64,64.71,3.06,5.26,3.79,0.85,-5.68,-1.94,16.61
2012,51.51,131.79,66.34,5.57,5.23,69.78,3.50,6.25,4.47,1.05,18.62,2.06,16.95
2013,59.63,105.60,66.24,4.03,4.92,74.18,2.77,4.96,2.55,1.12,17.90,4.89,17.32
2014,60.21,103.11,62.59,4.36,5.16,70.73,1.18,1.08,0.55,0.70,16.54,4.24,17.45
2015,60.83,123.85,75.40,4.65,4.96,73.58,2.16,3.67,1.95,1.06,19.62,4.22,17.79
2016,61.60,135.25,84.76,4.50,4.83,75.56,2.76,5.28,3.01,1.17,20.48,3.91,17.68
2017,62.93,117.52,66.23,5.03,4.65,78.49,3.14,6.30,3.31,1.29,6.00,0.82,17.99
2018,59.74,143.58,69.89,5.56,3.63,100.55,7.37,17.60,9.93,3.38,33.01,6.43,20.27
