宏達電,	2498
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2001,56.41,113.55,67.57,7.57,8.40,43.45,17.69,40.47,6.19,7.62,11.88,12.91,24.08
2002,54.24,133.14,95.08,5.68,9.44,38.66,18.00,39.37,7.09,9.00,40.02,36.82,26.82
2003,52.00,160.00,127.00,4.32,8.57,42.59,15.00,31.00,8.00,8.52,25.00,19.00,35.20
2004,49.00,206.00,157.00,5.22,8.34,43.76,20.00,41.00,11.00,14.21,31.00,15.00,41.89
2005,42.00,216.00,183.00,6.25,10.98,33.24,38.00,69.00,16.00,33.26,75.00,44.00,64.38
2006,35.00,264.00,233.00,6.09,12.53,29.13,48.00,77.00,24.00,57.85,106.00,44.00,97.63
2007,38.00,242.00,218.00,6.01,11.29,32.32,37.00,59.00,24.00,50.48,116.00,47.00,97.84
2008,47.00,186.00,169.00,6.09,12.68,28.78,28.00,49.00,19.00,37.97,69.00,28.00,81.38
2009,45.00,189.00,172.00,4.92,12.16,30.01,19.00,36.00,16.00,28.71,51.00,11.00,83.20
2010,59.00,144.00,120.00,5.92,11.77,31.01,26.00,56.00,14.00,48.49,37.00,26.00,92.48
2011,59.00,124.00,101.00,6.95,12.11,30.14,29.00,70.00,14.00,73.32,59.00,52.00,121.03
2012,60.00,103.00,80.00,5.02,7.85,46.49,8.00,18.00,6.00,20.17,19.00,-12.00,96.69
2013,55.00,118.00,87.00,5.83,5.81,62.82,-0.69,-1.68,-0.65,-1.60,-17.17,-19.78,94.37
2014,50.97,132.46,103.83,6.41,6.34,57.57,0.88,1.88,0.79,1.80,-0.41,-0.36,97.02
2015,50.00,134.00,98.00,4.53,4.80,76.04,-10.59,-21.41,-12.77,-18.79,-20.24,-16.91,78.27
2016,50.00,134.00,103.00,3.89,3.48,104.88,-9.08,-18.12,-13.51,-12.81,-18.76,-14.49,62.98
2017,49.00,117.00,84.00,4.80,4.10,89.02,-19.90,-39.60,-27.24,-20.58,-57.94,-38.56,41.05
2018,33.00,217.00,197.00,4.28,2.68,136.19,17.91,30.50,50.65,14.72,-42.55,-17.62,55.16
