南染,	1410
Year,負債佔資產比(%),流動比(%),速動比(%),應收款周轉率(次),存貨周轉率(次),平均銷貨日,資產報酬率(%),ROE(%),純益率(%),EPS,現金流量比(%),現金再投比(%),淨值
2000,15.95,273.11,236.29,3.85,15.18,24.04,-9.07,-10.76,-20.39,-1.32,69.96,3.06,11.57
2001,16.11,216.20,188.96,3.59,13.17,27.71,-6.74,-8.07,-21.02,-0.90,60.22,2.61,10.67
2002,15.11,300.91,251.36,5.02,14.01,26.05,-3.02,-3.72,-8.50,-0.39,142.85,4.04,10.06
2003,19.88,244.45,217.37,5.17,14.64,24.93,0.17,0.18,0.32,0.02,101.24,5.47,10.05
2004,16.32,512.32,453.51,4.78,11.39,32.04,-0.35,-0.47,-0.96,-0.05,146.53,4.07,10.00
2005,18.87,787.92,731.01,4.68,10.95,33.33,-1.97,-2.40,-6.34,-0.27,130.74,2.32,12.52
2006,19.97,537.98,499.74,4.80,12.90,28.29,0.03,0.03,0.08,0.00,74.54,2.06,12.53
2007,18.53,665.55,611.93,4.24,11.34,32.18,0.99,1.20,3.98,0.15,72.88,1.48,12.68
2008,16.96,875.39,813.13,3.80,9.57,38.14,0.32,0.38,1.64,0.05,100.03,1.69,12.51
2009,16.99,1041.75,1005.65,4.74,10.23,35.67,-1.08,-1.31,-6.95,-0.16,126.45,2.05,12.53
2010,17.72,693.63,664.49,5.96,15.05,24.25,6.39,7.72,27.78,1.01,150.92,4.41,13.53
2011,16.64,958.97,931.31,5.64,14.90,24.49,6.33,7.64,26.05,1.06,253.11,8.71,14.34
2012,16.25,1225.63,1201.47,6.06,15.56,23.45,7.35,8.79,34.10,1.28,317.09,3.33,14.73
2013,17.95,793.27,766.90,5.39,16.81,21.71,6.11,7.67,16.87,1.08,186.80,2.92,14.69
2014,19.23,698.44,666.15,5.47,16.15,22.60,7.05,8.64,17.51,1.21,190.13,4.39,16.21
2015,18.73,686.08,658.44,5.45,14.03,26.01,8.49,10.47,20.42,1.64,179.82,4.34,16.53
2016,17.93,735.35,714.89,5.43,15.65,23.32,8.44,10.32,21.60,1.63,190.22,3.98,16.84
2017,17.65,807.93,784.81,5.17,16.64,21.93,6.64,8.07,19.13,1.28,158.64,1.44,16.74
2018,17.55,836.33,802.94,5.69,12.29,29.69,7.30,8.85,22.01,1.44,170.27,2.16,16.77
