台原藥,	4415
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,母公司淨利,非控制淨利,股本
2013 Q1,7606,11757,-4151,11985,-16136,8688,-9608,-0.35,0,0,277049
2013 Q2,6278,15064,-8786,11364,-20150,14772,-8924,-0.32,-8924,0,277049
2013 Q3,7566,5332,2234,13439,-11205,-868,-16674,-0.60,-16674,0,277039
2013 Q4,40496,54028,-13532,46034,-59566,27210,-43037,-1.55,-43037,-43037,277039
2014 Q1,4844,9657,-4813,11641,-16454,-208,-16612,-0.60,-16612,-16612,277039
2014 Q2,12170,7190,4980,10489,-5509,-10028,-15551,-0.28,-32163,-32163,577039
2014 Q3,356,451,-95,9737,-9832,-28669,-38514,-0.67,-70677,-70677,577039
2014 Q4,19341,18299,1042,44132,-43090,-48813,-121877,-2.45,-121877,-121877,577039
2015 Q1,1243,585,658,9354,-8696,5,-8686,-0.13,-8686,-8686,709239
2015 Q2,4572,4032,540,8744,-8204,1069,-7135,-0.10,-15821,-15821,709239
2015 Q3,33262,17838,15424,14996,428,794,1272,0.02,-14549,-14549,759239
