高端疫苗,	6547
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2015 Q1,n/a
2015 Q2,0,0,0,97581,-97581,1519,-96062,-1.07,900000
2015 Q3,n/a
2015 Q4,0,0,0,183232,-183232,1500,-181732,-1.99,1100000
2016 Q1,n/a
2016 Q2,0,0,0,89092,-89092,1840,-87252,-0.79,1100000
2016 Q3,n/a
2016 Q4,0,0,0,219581,-219581,9997,-209584,-1.84,1225000
2017 Q1,n/a
2017 Q2,0,0,0,147904,-147904,-1812,-149716,-1.22,1250037
2017 Q3,0,0,0,77098,-77098,-2104,-79202,-0.59,1368250
2017 Q4,0,0,0,336039,-336039,-4251,-340290,-2.64,1369560
2018 Q1,0,0,0,86379,-86379,-3577,-89956,-0.66,1370465
2018 Q2,0,0,0,128138,-128138,-1935,-130073,-0.86,1555219
