奈米醫材,	6612
季度,營收,營業成本,營業毛利,營業費用,營業利益,業外收入,淨利,每股盈餘,股本
2015 Q1,n/a
2015 Q2,n/a
2015 Q3,n/a
2015 Q4,217244,67626,149618,118074,31544,4995,20888,0.72,250890
2016 Q1,n/a
2016 Q2,116635,38631,78004,55781,22223,-1265,12306,0.47,269520
2016 Q3,n/a
2016 Q4,246250,72897,173353,132796,40557,2274,19654,0.70,302165
2017 Q1,n/a
2017 Q2,132447,33559,98888,68162,30726,-802,15051,0.48,302825
2017 Q3,79602,15087,64515,34505,30010,5439,22582,0.72,302825
2017 Q4,266050,61425,204625,141085,63540,4644,32921,1.03,302825
2018 Q1,78091,19364,58727,35542,23185,-2090,14110,0.45,302825
2018 Q2,101673,27985,73688,39149,34539,9849,32539,1.05,303695
2018 Q3,79052,20212,58840,34974,23866,2434,17650,0.54,332255
