台原藥,	4415
Year,最高價,日期,最低價,日期,收盤平均價
2000,45.70,04/18,8.85,12/01,30.29
2001,13.35,02/09,2.70,10/29,7.44
2002,6.80,01/10,2.91,09/26,4.45
2003,5.00,01/22,3.25,05/21,4.01
2004,5.95,04/16,3.16,12/29,4.16
2005,24.10,12/26,2.11,07/07,6.97
2006,23.90,03/03,7.00,09/06,15.70
2007,13.30,03/05,2.65,12/19,9.94
2008,13.45,10/21,1.61,08/19,3.97
2009,148.50,06/11,7.25,01/20,77.42
2010,127.50,07/06,44.25,02/08,86.77
2011,64.90,01/05,8.80,10/03,31.51
2015,25.50,09/16,5.91,05/04,15.67
2016,19.50,01/06,6.30,12/20,9.55
2017,14.75,11/22,5.15,02/06,6.52
