美德醫療-DR,	9103
Year,最高價,日期,最低價,日期,收盤平均價
2002,18.00,12/13,13.75,12/31,15.63
2003,32.10,5/22,13.30,3/12,19.77
2004,28.90,3/05,11.55,12/17,16.84
2005,20.45,10/26,10.50,6/09,12.80
2006,15.80,1/11,10.65,9/15,12.15
2007,17.45,7/19,3.32,6/13,10.33
2008,9.85,4/21,2.90,9/19,6.18
2009,15.90,9/02,3.65,2/02,9.04
2010,11.40,1/20,4.26,12/31,8.02
2011,6.85,3/21,2.60,12/20,3.87
2012,4.14,3/06,1.86,11/01,2.66
2013,3.80,4/30,2.13,3/28,2.52
2014,3.41,8/05,2.09,11/19,2.60
2015,3.27,6/03,1.68,8/25,2.14
2016,2.07,3/18,1.65,6/27,1.80
2017,2.05,2/14,1.25,4/21,1.58
2018,1.58,1/08,1.15,11/23,1.36
2019,1.22,12/31,1.00,4/10,1.10
