慕康生醫,	5398
Year,最高價,日期,最低價,日期,收盤平均價
2000,64.00,04/10,13.80,12/20,34.89
2001,33.40,04/11,8.80,10/18,18.68
2002,21.20,04/16,7.40,12/18,12.35
2003,9.85,07/28,5.35,05/02,7.21
2004,15.50,03/10,3.76,11/30,7.17
2005,4.88,03/09,2.93,09/08,3.65
2006,7.85,12/08,3.28,01/02,4.84
2007,12.60,07/11,6.77,12/21,8.92
2008,9.05,06/13,2.83,11/20,5.28
2009,14.80,12/17,3.53,03/11,10.23
2010,15.30,01/15,10.00,02/06,13.11
2011,30.00,10/17,9.60,03/15,20.38
2012,26.40,02/01,14.45,12/28,22.01
2013,39.50,12/31,11.20,01/23,24.07
2014,52.60,04/09,29.35,10/23,41.93
2015,39.70,02/24,12.00,07/24,22.62
2016,50.40,10/25,16.90,01/14,39.87
2017,43.30,01/11,28.30,11/28,36.45
